Table S1. Summary of study animals.																													
Animal ID	Experimental status1	Natal colony	Natal litter reference2	Birthdate	Breeding status at sample collection	Experimental start date	Date of weight at experimenatal start 	Weight in grams at experimental start	Sample collection date	Age in months at experimental start	Months of experimental duration	Sample collection date	Age in years at sample collection	Animal Reference3	Date of weight at sample collection	Weight in grams at sample collection	Days as breeder 	Number litters born	Number offspring born	Lactating at time of sample collection	Total area at femoral midshaft	Cortical area at femoral midshaft 	Marrow area at femoral midshaft	Minimum cortical thickness at femoral midshaft	Imin at femoral midshaft	J at femoral midshaft	LV5 length at experimental start	Date of x-ray at sample collection	LV5 length at sample collection
ARF002	experimental animal	AR	99	2/28/15	helper	10/30/17	10/29/13	161	10/3/18	32.50	11.27	10/3/18	3.60	1097	10/1/18	179	0	0	0	0	4.9902	3.5472	1.378	0.447	1.2769	3.9073	5.467	9/26/18	5.589
BEF001	non-experimental animal	BE	28	4/6/14	helper	NA	NA	NA	10/12/18	NA	NA	10/12/18	4.52	634	10/12/18	123	0	0	0	0	4.0296	3.1289	0.85	0.376	0.6855	2.9014	NA	NA	NA
CRF002	non-experimental animal	CR	9	12/17/13	helper	NA	NA	NA	12/13/17	NA	NA	12/13/17	3.99	393	12/12/17	173	0	0	0	0	3.7346	3.2535	0.445	0.552	0.7143	2.3908	NA	12/6/17	5.634
CRF007	experimental animal	CR	84	1/6/15	queen	6/8/16	6/7/12	89	12/14/17	17.30	18.47	12/14/17	2.94	1015	12/13/17	112	554	4	14	1	3.5709	1.9751	1.528	0.233	0.569	1.6959	4.369	12/7/17	5.275
DVF007	experimental animal	DV	165	1/3/16	queen	10/31/17	10/31/13	131	10/5/18	22.23	11.30	10/5/18	2.76	1333	10/5/18	166	339	1	3	0	4.0215	3.1232	0.848	0.371	0.6822	2.8902	NA	9/28/18	5.751
DVF008	experimental animal	DV	165	1/3/16	helper	10/31/17	10/31/13	122	10/4/18	22.23	11.27	10/4/18	2.75	1334	10/3/18	167	0	0	0	0	3.5617	3.0717	0.454	0.451	0.5798	2.322	5.335	9/27/18	5.782
G1F022	experimental animal	G1	77	12/2/14	helper	1/21/16	1/20/12	134	12/10/17	13.83	22.97	12/10/17	3.02	946	12/9/17	151	0	0	0	0	3.8838	3.1373	0.702	0.435	0.7512	2.5656	4.88	12/3/17	5.276
G1F025	experimental animal	G1	77	12/2/14	solitaire	1/21/16	1/20/12	173	12/11/17	13.83	23.00	12/11/17	3.03	949	12/10/17	201	0	0	0	0	6.2923	3.9955	2.22	0.288	1.9318	5.806	5.442	12/4/17	5.755
G4F019	experimental animal	G4	47	7/24/14	helper	2/4/16	2/3/12	128	12/7/17	18.67	22.40	12/7/17	3.38	798	12/5/17	148	0	0	0	0	3.0101	1.9628	0.993	0.289	0.3682	1.4678	5.176	11/29/17	5.537
G4F020	experimental animal	G4	47	7/24/14	solitaire	2/4/16	2/3/12	97	12/7/17	18.67	22.40	12/7/17	3.38	801	11/30/17	128	0	0	0	0	3.0681	2.1564	0.86	0.353	0.4276	1.525	4.771	11/30/17	5.415
G10F023	experimental animal	G10	3	11/7/13	helper	12/18/15	12/17/11	116	10/19/17	25.70	22.37	10/19/17	3.95	289	10/13/17	109	0	0	0	1	3.5869	2.657	0.879	0.281	0.5605	2.2298	5.405	10/12/17	5.526
