Row	AnimalID	experimental_animal	Treatment	LHAM_mo_experiment	ZygoArchW	Femur	Body_length	L_vert_1-7length	LV7	LV6	LV5	LV4	LV3	LV2	LV1	R_tibia
1	ARF002	1	0BREEDER	-20	29.104	18.83	179.094	37.905	4.635	5.067	5.24	5.167	5.068	4.61	4.233	22.371
2	ARF002	1	0BREEDER	0	30.409	18.466	189.145	40.313	4.967	5.234	5.467	5.468	5.302	4.9	4.501	22.127
3	ARF002	1	0BREEDER	1	30.372	18.6	188.437	39.837	4.968	5.304	5.472	5.434	5.242	4.679	4.4	23.1
4	ARF002	1	0BREEDER	12	30.628	18.253	193.17	40.597	4.917	5.324	5.589	5.635	5.367	4.837	4.415	23.072
5	CRF002	0	0BREEDER	NA	31.44	17.871	184.507	39.546	5.121	5.436	5.634	5.235	5.033	4.6	4.367	22.525
6	CRF007	1	BREEDER	0	25.502	18.467	158.649	32.01	4.211	4.203	4.369	4.3	3.869	3.602	3.403	21.351
7	CRF007	1	BREEDER	2	26.455	19.298	158.618	34.135	4.382	4.488	4.767	4.471	4.206	3.867	3.333	21.816
8	CRF007	1	BREEDER	4	27.002	19.702	165.839	35.703	4.612	5.137	5.033	4.767	4.467	4.101	3.668	22.152
9	CRF007	1	BREEDER	6	27.256	19.299	170.804	36.709	4.788	5.226	5.203	4.977	4.69	4.253	3.851	22.139
10	CRF007	1	BREEDER	10	27.197	20.787	172.968	36.666	4.971	5.307	4.947	5.052	4.377	4.205	3.801	22.43
11	CRF007	1	BREEDER	16	27.327	19.496	171.424	36.904	4.771	5.067	5.074	4.768	4.467	4.2	3.733	22.202
12	CRF007	1	BREEDER	18	27.406	20.668	170.135	36.924	4.575	5.25	5.275	5.001	4.451	4.251	3.6	21.957
13	DVF007	1	BREEDER	12	28.137	20.438	192.458	42.859	5.03	5.75	5.751	5.96	5.576	5.329	4.98	23.033
14	DVF008	1	0BREEDER	0	27.207	19.269	180.391	37.808	5.067	5.4	5.335	5.067	4.667	4.6	4.2	23.065
15	DVF008	1	0BREEDER	12	28.38	18.809	190.316	40.802	5.335	5.639	5.782	5.432	5.251	4.9	4.602	23.537
16	G10F023	1	0BREEDER	0	28.464	19.166	170.626	39.939	5.247	5.357	5.405	5.051	4.5	4.05	NA	23.921
17	G10F023	1	0BREEDER	2	28.368	19.908	171.502	36.994	5.19	5.438	5.398	5.168	4.502	4.076	3.627	23.982
18	G10F023	1	0BREEDER	4	28.509	19.76	172.632	37.202	5.252	5.5	5.475	5.151	4.5	4.126	3.65	23.897
19	G10F023	1	0BREEDER	6	28.45	20.787	174.157	36.628	5.404	5.601	5.326	5.025	4.575	5.05	3.701	23.974
20	G10F023	1	0BREEDER	8	28.467	20.119	173.118	37.444	5.204	5.475	5.415	5.102	4.538	5.142	3.606	23.948
21	G10F023	1	0BREEDER	10	28.501	18.284	171.617	37.524	5.473	5.671	5.438	5.036	4.567	4.133	NA	23.974
22	G10F023	1	0BREEDER	12	28.712	21.324	168.509	37.509	5.307	5.679	5.451	5.1	4.575	4.1	NA	24.227
23	G10F023	1	0BREEDER	16	29.055	19.812	173.21	37.803	5.402	5.733	5.5	5.267	4.7	4.1	3.6	23.93
24	G10F023	1	0BREEDER	22	28.789	19.687	173.339	37.248	5.159	5.552	5.526	5.129	4.477	4.076	3.531	23.704
25	G10F024	1	BREEDER	0	28.831	21.051	174.504	39.016	5.05	5.375	5.375	5.4	5	4.502	4.25	24.664
26	G10F024	1	BREEDER	2	29.1	21.462	177.427	39.377	5.182	5.453	5.527	5.302	5.059	4.501	4.102	24.724
