LitterRef	Weight	MotherID	DateOfBirth	flag	Number_total	BodyLength
413	12	ARF006	3/18/18	1	6	18.75
413	13	ARF006	3/18/18	1	6	18.75
364	8	BEF003	9/28/17	0	9	19
364	10	BEF003	9/28/17	0	9	19
461	11	BEF003	10/5/18	0	7	18.75
461	9	BEF003	10/5/18	0	7	18.75
364	12	BEF003	9/28/17	0	9	19
364	8	BEF003	9/28/17	0	9	19
364	9	BEF003	9/28/17	0	9	19
461	12	BEF003	10/5/18	0	7	18.75
186	11	BO50F001	3/26/16	0	8	18.35
186	10	BO50F001	3/26/16	0	8	18.35
186	11	BO50F001	3/26/16	0	8	18.35
186	9	BO50F001	3/26/16	0	8	18.35
252	12	CRF007	11/14/16	1	6	17.3
296	10	CRF007	2/24/17	0	8	17.35
252	14	CRF007	11/14/16	1	6	17.3
296	11	CRF007	2/24/17	0	8	17.35
296	10	CRF007	2/24/17	0	8	17.35
530	13	DRF015	6/21/19	1	5	16.2
431	10	DVF007	5/19/18	1	7	19.8
431	9	DVF007	5/19/18	1	7	19.8
431	9	DVF007	5/19/18	1	7	19.8
70	6	F1F001	10/31/14	0	7	18.05
70	4	F1F001	10/31/14	0	7	18.05
137	9	F1F001	10/27/15	0	6	18.2
137	9	F1F001	10/27/15	0	6	18.2
306	7	F1F001	3/29/17	0	8	18.5
306	8	F1F001	3/29/17	0	8	18.5
306	7	F1F001	3/29/17	0	8	18.5
343	8	F1F001	7/17/17	0	6	18.5
376	8	F1F001	10/27/17	0	7	18.5
463	8	F1F001	10/28/18	0	8	18.2
505	8	F1F001	3/31/19	0	7	18.2
505	8	F1F001	3/31/19	0	7	18.2
70	6	F1F001	10/31/14	0	7	18.05
104	7	F1F001	4/5/15	0	6	17.75
104	6	F1F001	4/5/15	0	6	17.75
178	8	F1F001	2/9/16	0	6	18.5
178	9	F1F001	2/9/16	0	6	18.5
306	7	F1F001	3/29/17	0	8	18.5
343	8	F1F001	7/17/17	0	6	18.5
376	6	F1F001	10/27/17	0	7	18.5
376	7	F1F001	10/27/17	0	7	18.5
442	8	F1F001	7/16/18	0	6	17.8
442	8	F1F001	7/16/18	0	6	17.8
463	6	F1F001	10/28/18	0	8	18.2
463	6	F1F001	10/28/18	0	8	18.2
463	8	F1F001	10/28/18	0	8	18.2
57	11	F2F002	9/18/14	1	6	16.95
57	11	F2F002	9/18/14	1	6	16.95
143	10	F2F002	11/15/15	0	6	16.76666667
198	7	F2F002	4/22/16	0	6	16.7
198	10	F2F002	4/22/16	0	6	16.7
235	10	F2F002	9/16/16	0	7	16.9
235	9	F2F002	9/16/16	0	7	16.9
299	9	F2F002	3/2/17	0	7	17
474	8	F2F002	12/11/18	0	7	17.05
474	6	F2F002	12/11/18	0	7	17.05
143	11	F2F002	11/15/15	0	6	16.76666667
235	10	F2F002	9/16/16	0	7	16.9
299	9	F2F002	3/2/17	0	7	17
299	10	F2F002	3/2/17	0	7	17
365	7	F2F002	10/1/17	0	6	17
365	9	F2F002	10/1/17	0	6	17
435	9	F2F002	6/10/18	0	7	17.3
435	8	F2F002	6/10/18	0	7	17.3
435	7	F2F002	6/10/18	0	7	17.3
474	9	F2F002	12/11/18	0	7	17.05
67	6	F2F005	10/10/14	0	7	17.1
67	6	F2F005	10/10/14	0	7	17.1
91	10	F2F005	1/23/15	0	6	17.1
117	9	F2F005	6/8/15	0	6	16.75
148	9	F2F005	11/17/15	0	6	16.75
187	10	F2F005	3/28/16	0	6	16.6
67	6	F2F005	10/10/14	0	7	17.1
91	8	F2F005	1/23/15	0	6	17.1
117	11	F2F005	6/8/15	0	6	16.75
148	9	F2F005	11/17/15	0	6	16.75
187	9	F2F005	3/28/16	0	6	16.6
219	10	F2F005	7/19/16	0	6	17.35
219	9	F2F005	7/19/16	0	6	17.35
90	10	F2F007	1/21/15	0	6	17.03
145	7	F2F007	11/15/15	0	7	16.65
145	7	F2F007	11/15/15	0	7	16.65
302	9	F2F007	3/14/17	0	6	16.85
302	9	F2F007	3/14/17	0	6	16.85
390	8	F2F007	12/28/17	0	7	17.15
390	10	F2F007	12/28/17	0	7	17.15
90	9	F2F007	1/21/15	0	6	17.03
145	5	F2F007	11/15/15	0	7	16.65
353	7	F2F007	9/8/17	0	6	17.15
390	8	F2F007	12/28/17	0	7	17.15
68	11	G10F005	10/17/14	0	7	18.95
100	9	G10F005	3/1/15	0	7	19.05
100	11	G10F005	3/1/15	0	7	19.05
173	11	G10F005	1/27/16	0	8	18.9
173	10	G10F005	1/27/16	0	8	18.9
214	10	G10F005	6/12/16	0	10	18.9
214	8	G10F005	6/12/16	0	10	18.9
238	6	G10F005	9/25/16	0	12	18.85
238	8	G10F005	9/25/16	0	12	18.85
238	9	G10F005	9/25/16	0	12	18.85
238	8	G10F005	9/25/16	0	12	18.85
238	7	G10F005	9/25/16	0	12	18.85
68	13	G10F005	10/17/14	0	7	18.95
68	12	G10F005	10/17/14	0	7	18.95
100	11	G10F005	3/1/15	0	7	19.05
173	11	G10F005	1/27/16	0	8	18.9
173	11	G10F005	1/27/16	0	8	18.9
238	7	G10F005	9/25/16	0	12	18.85
238	8	G10F005	9/25/16	0	12	18.85
238	6	G10F005	9/25/16	0	12	18.85
50	14	G10F008	7/29/14	0	6	17.5
71	11	G10F008	11/9/14	0	8	17.5
113	9	G10F008	5/24/15	0	8	17.35
113	11	G10F008	5/24/15	0	8	17.35
133	11	G10F008	9/14/15	0	6	17.35
174	12	G10F008	1/28/16	0	6	17.05
174	11	G10F008	1/28/16	0	6	17.05
200	11	G10F008	5/16/16	0	8	17.1
200	11	G10F008	5/16/16	0	8	17.1
287	9	G10F008	2/2/17	0	9	17.3
287	10	G10F008	2/2/17	0	9	17.3
330	11	G10F008	5/31/17	0	7	17.6
330	11	G10F008	5/31/17	0	7	17.6
426	11	G10F008	5/9/18	0	7	17
426	11	G10F008	5/9/18	0	7	17
426	10	G10F008	5/9/18	0	7	17
453	11	G10F008	8/28/18	0	7	16.9
50	13	G10F008	7/29/14	0	6	17.5
71	12	G10F008	11/9/14	0	8	17.5
71	10	G10F008	11/9/14	0	8	17.5
71	12	G10F008	11/9/14	0	8	17.5
113	11	G10F008	5/24/15	0	8	17.35
113	12	G10F008	5/24/15	0	8	17.35
133	11	G10F008	9/14/15	0	6	17.35
200	11	G10F008	5/16/16	0	8	17.1
200	11	G10F008	5/16/16	0	8	17.1
241	10	G10F008	10/17/16	0	7	17.5
241	12	G10F008	10/17/16	0	7	17.5
241	10	G10F008	10/17/16	0	7	17.5
287	11	G10F008	2/2/17	0	9	17.3
287	8	G10F008	2/2/17	0	9	17.3
287	10	G10F008	2/2/17	0	9	17.3
330	10	G10F008	5/31/17	0	7	17.6
453	11	G10F008	8/28/18	0	7	16.9
453	11	G10F008	8/28/18	0	7	16.9
529	11	G10F008	6/14/19	0	5	17.3
3	11	G10F009	11/7/13	1	8	18.25
3	9	G10F009	11/7/13	1	8	18.25
3	11	G10F009	11/7/13	1	8	18.25
134	10	G10F009	9/21/15	0	9	18.05
134	8	G10F009	9/21/15	0	9	18.05
193	7	G10F009	4/4/16	0	7	18.1
225	11	G10F009	8/8/16	0	8	18.35
225	10	G10F009	8/8/16	0	8	18.35
273	7	G10F009	12/27/16	0	7	18.45
315	9	G10F009	4/16/17	0	7	18.25
456	10	G10F009	9/9/18	0	8	18.55
456	9	G10F009	9/9/18	0	8	18.55
513	11	G10F009	4/28/19	0	6	18.95
3	11	G10F009	11/7/13	1	8	18.25
105	12	G10F009	4/7/15	0	8	18.25
105	9	G10F009	4/7/15	0	8	18.25
105	11	G10F009	4/7/15	0	8	18.25
105	11	G10F009	4/7/15	0	8	18.25
134	10	G10F009	9/21/15	0	9	18.05
134	11	G10F009	9/21/15	0	9	18.05
134	7	G10F009	9/21/15	0	9	18.05
193	12	G10F009	4/4/16	0	7	18.1
225	14	G10F009	8/8/16	0	8	18.35
