AnimalID	Treatment	LV5_change04	pregnantby4mo
CRF007	BREEDER	0.664	1
G10F023	0BREEDER	0.07	NA
G10F024	BREEDER	0.201	0
G10F025	0BREEDER	0.43	NA
G1F022	0BREEDER	-0.379	NA
G1F025	0BREEDER	0.226	NA
G4F019	0BREEDER	-0.043	NA
G4F020	0BREEDER	0.104	NA
GRF001	BREEDER	0.518	1
GRF002	0BREEDER	-0.041	NA
GRF003	0BREEDER	0.069	NA
GRF005	0BREEDER	0.264	NA
L2F020	BREEDER	0.447	1
MAF003	0BREEDER	0.338	NA
MAF006	BREEDER	0.199	0
NOF007	0BREEDER	0.432	NA
NOF009	BREEDER	0.6	1
TIF003	BREEDER	0.551	1
TIF005	0BREEDER	0.356	NA
WEF001	0BREEDER	0.282	NA
WEF002	0BREEDER	0.029	NA
