"DVF007"	"DVF008"	"G1F022"	"G1F025"	"G4F019"	"G4F020"	"LAF007"	"LAF008"	"MAF003"	"MAF006"	"NOF007"	"NOF009"	"WAF011"	"WAF014"	"WEF001"	"WEF002"
"DVF007"	1	0.484764	-0.1021788	-0.085908	-0.323644	-0.298462	0.0180681	0.0056338	0.001386962	0.0643432	0.001369864	0.01086218	0.176781	0.1752988	-0.0584552	-0.02371
"DVF008"	0.484764	1	-0.0459066	-0.076746	-0.317054	-0.27743	0.0636042	0.0200574	0.0296192	0.0967302	0.062674	0.0289856	0.1058982	0.1376518	0.00707714	0.0269504
"G1F022"	-0.1021788	-0.0459066	1	0.354622	-0.605634	-0.564058	-0.256528	-0.28371	-0.315708	-0.27011	0.1073318	0.0628742	-0.1740392	-0.1446312	-0.278462	-0.291442
"G1F025"	-0.085908	-0.076746	0.354622	1	-0.563604	-0.490078	-0.294298	-0.272088	-0.287472	-0.199852	0.1789234	0.1741742	-0.1585454	-0.1347986	-0.25	-0.264502
"G4F019"	-0.323644	-0.317054	-0.605634	-0.563604	1	0.275114	-0.353698	-0.34449	-0.35445	-0.205088	-0.210276	-0.1956182	-0.26495	-0.239512	-0.334944	-0.358354
"G4F020"	-0.298462	-0.27743	-0.564058	-0.490078	0.275114	1	-0.327302	-0.321086	-0.33281	-0.1963746	-0.1393188	-0.1425288	-0.189911	-0.1629298	-0.289992	-0.304898
"LAF007"	0.0180681	0.0636042	-0.256528	-0.294298	-0.353698	-0.327302	1	0.586628	0.001415428	0.0956938	-0.089448	-0.0498614	0.0443846	0.00677048	0.0397728	0.064057
"LAF008"	0.0056338	0.0200574	-0.28371	-0.272088	-0.34449	-0.321086	0.586628	1	0.025825	0.0858726	-0.0977338	-0.0701754	0.0313352	0.01508916	0.0575954	0.053391
"MAF003"	0.001386962	0.0296192	-0.315708	-0.287472	-0.35445	-0.33281	0.001415428	0.025825	1	0.536152	-0.1018132	-0.1091914	0.028188	0.054054	0.0297662	0.046875
"MAF006"	0.0643432	0.0967302	-0.27011	-0.199852	-0.205088	-0.1963746	0.0956938	0.0858726	0.536152	1	-0.0363882	-0.0400802	0.090909	0.103268	0.12731	0.0946502
"NOF007"	0.001369864	0.062674	0.1073318	0.1789234	-0.210276	-0.1393188	-0.089448	-0.0977338	-0.1018132	-0.0363882	1	0.585666	0.0503978	0.046729	-0.113366	-0.0981768
"NOF009"	0.01086218	0.0289856	0.0628742	0.1741742	-0.1956182	-0.1425288	-0.0498614	-0.0701754	-0.1091914	-0.0400802	0.585666	1	0.051282	0.0489742	-0.112344	-0.1223072
"WAF011"	0.176781	0.1058982	-0.1740392	-0.1585454	-0.26495	-0.189911	0.0443846	0.0313352	0.028188	0.090909	0.0503978	0.051282	1	0.574002	-0.01616162	-0.01754386
"WAF014"	0.1752988	0.1376518	-0.1446312	-0.1347986	-0.239512	-0.1629298	0.00677048	0.01508916	0.054054	0.103268	0.046729	0.0489742	0.574002	1	0.0040678	-0.01494566
"WEF001"	-0.0584552	0.00707714	-0.278462	-0.25	-0.334944	-0.289992	0.0397728	0.0575954	0.0297662	0.12731	-0.113366	-0.112344	-0.01616162	0.0040678	1	0.497506
"WEF002"	-0.02371	0.0269504	-0.291442	-0.264502	-0.358354	-0.304898	0.064057	0.053391	0.046875	0.0946502	-0.0981768	-0.1223072	-0.01754386	-0.01494566	0.497506	1
