fastq	natal_colony	litter	sac_date	breeding_status	daysinculture	RNAbionalyzerconc_ng_ul	inputRNAforlibprep_ng	numb_cyc_libprep	lib_size_bp	lib_conc_bioan_pg_uL	lib_molarity_bioan_pmol_L	lane	raw_reads	trimmed_reads	prop_passing_filter_trimmed_raw	uniquely_mapped_reads	uniquelymappedreads_rawreads	readsinfeature	propwithinfeat_uniqmapped	sample	animal	treatment	bone	yearbatch	queen	ageatsac_days	ageatsac_years	bone_by_queen	million_cells_isolated	num_offspring
G1F022_lb_E2_R1.fq.gz	G1	G1	12/10/17	h	7	34.94	5.241	10	426	16488	67870.8	a	11178538	10293587	0.920834818	8785730	0.785946248	6246697	0.716491446	G1F022_lb_E2	G1F022	E2	0	year2018	0	1104	3.024657534	0	71.75	0
G1F022_lb_null_R1.fq.gz	G1	G1	12/10/17	h	7	28.97	5.2146	10	421	22125.42	96283.8	a	12600591	11814529	0.937617053	10161677	0.806444476	7144583	0.708464267	G1F022_lb_null	G1F022	null	0	year2018	0	1104	3.024657534	0	71.75	0
G1F025_lb_null_R1.fq.gz	G1	G1	12/11/17	s	7	20.92	5.0208	10	395	20856.68	91705.4	a	11837919	11131899	0.94035945	9655617	0.815651552	6507857	0.678646585	G1F025_lb_null	G1F025	null	0	year2018	0	1105	3.02739726	0	169.75	0
G1F025_v_null_R1.fq.gz	G1	G1	12/11/17	s	7	17.36	5.0344	10	415	17114.75	74468.5	a	13408886	12579394	0.938138634	10817435	0.806736294	7699402	0.71703793	G1F025_v_null	G1F025	null	1	year2018	0	1105	3.02739726	0	57.875	0
G4F019_lb_null_R1.fq.gz	G4	G4	12/7/17	h	8	9.047	5.06632	10	412	17877.42	74730.6	c	14838890	13934398	0.939045845	11994119	0.808289501	8760119	0.73537935	G4F019_lb_null	G4F019	null	0	year2018	0	1232	3.375342466	0	14.2	0
G4F019_v_E2_R1.fq.gz	G4	G4	12/7/17	h	8	23.44	5.1568	10	407	22049.76	94094.4	c	13012503	12248808	0.941310676	10512554	0.807881005	7704397	0.738090875	G4F019_v_E2	G4F019	E2	1	year2018	0	1232	3.375342466	0	19.575	0
G4F019_v_null_R1.fq.gz	G4	G4	12/7/17	h	8	21.27	5.1048	10	424	17699.26	72507.8	c	11367700	10647537	0.936648311	9168632	0.806551193	6692527	0.735269295	G4F019_v_null	G4F019	null	1	year2018	0	1232	3.375342466	0	19.575	0
G4F020_lb_E2_R1.fq.gz	G4	G4	12/6/17	s	11	1.758	5.0103	10	447	17294.08	70072	c	13451993	12522545	0.930906298	10719873	0.796898497	7820549	0.734683396	G4F020_lb_E2	G4F020	E2	0	year2018	0	1231	3.37260274	0	9.019	0
G4F020_lb_null_R1.fq.gz	G4	G4	12/6/17	s	11	5.801	5.04687	10	440	28613.31	114098.6	c	15447099	14427409	0.933988252	12414765	0.803695568	9041053	0.733561436	G4F020_lb_null	G4F020	null	0	year2018	0	1231	3.37260274	0	9.019	0
G4F020_v_null_R1.fq.gz	G4	G4	12/6/17	s	11	2.116	5.01492	10	446	23471.73	91915.5	c	12764025	11904423	0.932654316	10263885	0.80412605	7345358	0.720772151	G4F020_v_null	G4F020	null	1	year2018	0	1231	3.37260274	0	26.7	0
MAF003_lb_null_R1.fq.gz	MA	MA_1	12/5/17	s	9	2.774	5.02094	10	420	24984.56	103846.2	a	17782043	16700163	0.939158847	14423610	0.811133456	10273237	0.717219503	MAF003_lb_null	MAF003	null	0	year2018	0	1133	3.104109589	0	57.9	0
MAF003_v_null_R1.fq.gz	MA	MA_1	12/5/17	s	9	1.011	4.044	10	543	1808.62	6003.2	a	11224702	9955790	0.886953614	8541946	0.760995348	5672201	0.668572636	MAF003_v_null	MAF003	null	1	year2018	0	1133	3.104109589	0	80.1	0
MAF006_lb_E2_R1.fq.gz	MA	MA_1	12/4/17	q	3	2.161	5.01352	10	406	21195.72	91684.8	a	11635175	10698406	0.91948819	8832294	0.759102807	5329563	0.608875737	MAF006_lb_E2	MAF006	E2	0	year2018	1	1132	3.101369863	0	23.5	9
MAF006_lb_null_R1.fq.gz	MA	MA_1	12/4/17	q	3	0.23	0.92	10	579	1788.2	5459.4	a	14911416	13062877	0.876031961	11043728	0.740622353	6355774	0.579360857	MAF006_lb_null	MAF006	null	0	year2018	1	1132	3.101369863	0	23.5	9
MAF006_v_E2_R1.fq.gz	MA	MA_1	12/4/17	q	3	0.646	2.584	10	596	1857.54	5382.4	a	14840914	12798534	0.862381791	10602432	0.714405595	6600865	0.626921595	MAF006_v_E2	MAF006	E2	1	year2018	1	1132	3.101369863	1	11.25	9
NOF007_lb_E2_R1.fq.gz	NO	NO	11/28/17	h	9	1.799	5.00122	10	424	20827.8	85493.1	c	12040817	11201341	0.930280811	9550309	0.793161212	6488680	0.684507427	NOF007_lb_E2	NOF007	E2	0	year2018	0	1076	2.947945205	0	21.125	0
NOF007_lb_null_R1.fq.gz	NO	NO	11/28/17	h	9	1.527	5.00856	10	435	20124.6	82234	c	12549660	11745200	0.935897865	10125263	0.806815722	6715957	0.667560099	NOF007_lb_null	NOF007	null	0	year2018	0	1076	2.947945205	0	21.125	0
NOF007_v_E2_R1.fq.gz	NO	NO	11/28/17	h	9	0.227	0.908	10	422	2271.9	9512.1	c	19567050	18299686	0.935229685	15847938	0.809929857	10089583	0.640820017	NOF007_v_E2	NOF007	E2	1	year2018	0	1076	2.947945205	0	23.33	0
NOF007_v_null_R1.fq.gz	NO	NO	11/28/17	h	9	1.932	5.00388	10	421	22502.48	94775.2	c	12773161	11877098	0.929847984	10135025	0.793462558	7309402	0.727171344	NOF007_v_null	NOF007	null	1	year2018	0	1076	2.947945205	0	23.33	0
NOF009_lb_E2_R1.fq.gz	NO	NO	11/27/17	q	7	6.334	5.00386	10	406	44932.68	197787.2	c	13832567	13094548	0.946646273	11274718	0.815085009	7667405	0.685414126	NOF009_lb_E2	NOF009	E2	0	year2018	1	1075	2.945205479	0	46.625	6
NOF009_lb_null_R1.fq.gz	NO	NO	11/27/17	q	7	5.589	5.0301	10	394	41444.76	187702.2	c	12533696	11843314	0.944917924	10057178	0.802411196	6867297	0.688493621	NOF009_lb_null	NOF009	null	0	year2018	1	1075	2.945205479	0	46.625	6
WEF001_lb_null_R1.fq.gz	WE	WE	12/8/17	s	10	17.897	5.01116	10	566	1462.86	4471.8	b	17809175	15956581	0.895975305	13437481	0.754525743	8919072	0.66815589	WEF001_lb_null	WEF001	null	0	year2018	0	1177	3.224657534	0	36.225	0
WEF001_v_E2_R1.fq.gz	WE	WE	12/8/17	s	9	84.33	5.0598	10	560	1595.28	5118.4	b	18627450	16974258	0.911249688	14559093	0.781593455	10353102	0.716211187	WEF001_v_E2	WEF001	E2	1	year2018	0	1177	3.224657534	0	32.875	0
WEF001_v_null_R1.fq.gz	WE	WE	12/8/17	s	9	54.21	5.421	10	541	3017.49	10013.7	b	11682293	10578085	0.9054802	9053455	0.77497243	6082895	0.67690514	WEF001_v_null	WEF001	null	1	year2018	0	1177	3.224657534	0	32.875	0
WEF002_lb_E2_R1.fq.gz	WE	WE	12/9/17	h	9	18.454	5.16712	10	561	3509.9	10360	b	14811038	13095406	0.88416531	11131936	0.751597288	7376301	0.667094104	WEF002_lb_E2	WEF002	E2	0	year2018	0	1178	3.22739726	0	81.725	0
WEF002_lb_null_R1.fq.gz	WE	WE	12/9/17	h	9	59.69	5.3721	10	1071	382.98	931.1	b	13489535	11656029	0.864079377	8769005	0.650059843	6174122	0.710462872	WEF002_lb_null	WEF002	null	0	year2018	0	1178	3.22739726	0	81.725	0
WEF002_v_null_R1.fq.gz	WE	WE	12/9/17	h	9	1.392	5.0112	10	539	2808	9469.8	b	14008793	12952743	0.924615204	10670874	0.761726867	7428185	0.700861563	WEF002_v_null	WEF002	null	1	year2018	0	1178	3.22739726	0	40.95	0
DVF007_lb_null.fastq.gz	DV	DV	10/5/18	q	9	2.858	22.864	9	412	307534.89	1342781.7	d	16382865	15713382	0.95913517	13561924	0.827811497	10320561	0.765874161	DVF007_lb_null	DVF007	null	0	year2019	1	1006	2.756164384	0	44.625	3
DVF007_v_E2.fastq.gz	DV	DV	10/5/18	q	9	1.247	9.976	9	420	14277.2	60352.6	d	17239148	16314501	0.946363533	13978409	0.810852659	9684307	0.697961533	DVF007_v_E2	DVF007	E2	1	year2019	1	1006	2.756164384	1	9.625	3
DVF007_v_null.fastq.gz	DV	DV	10/5/18	q	9	1.297	10.376	9	419	27035.97	114951.2	d	14892798	14105295	0.947121891	12038725	0.808358846	8516460	0.712626889	DVF007_v_null	DVF007	null	1	year2019	1	1006	2.756164384	1	9.625	3
DVF008_lb_E2.fastq.gz	DV	DV	10/4/18	h	9	2.94	23.52	9	428	53124.52	218226.6	d	14563249	13853374	0.951255726	11938171	0.819746404	8784879	0.740657408	DVF008_lb_E2	DVF008	E2	0	year2019	0	1005	2.753424658	0	53.375	0
DVF008_lb_null.fastq.gz	DV	DV	10/4/18	h	9	4.49	35.92	8	407	59760.72	259159.5	d	20985884	20014841	0.953728754	17227914	0.820928678	12783119	0.746826528	DVF008_lb_null	DVF008	null	0	year2019	0	1005	2.753424658	0	53.375	0
DVF008_v_E2.fastq.gz	DV	DV	10/4/18	h	9	6.504	52.032	8	423	104182.4	438172.8	d	19021036	18097074	0.951424202	15446922	0.812096775	11504723	0.750388297	DVF008_v_E2	DVF008	E2	1	year2019	0	1005	2.753424658	0	26.75	0
DVF008_v_null.fastq.gz	DV	DV	10/4/18	h	9	2.929	23.432	9	415	29165.61	124625.5	d	15653858	14869100	0.949868077	12708328	0.811833607	8910803	0.706320715	DVF008_v_null	DVF008	null	1	year2019	0	1005	2.753424658	0	26.75	0
LAF007_lb_E2.fastq.gz	LA	LA	10/11/18	q	10	1.091	8.728	9	425	29533.4	123084	d	14968545	14201338	0.948745386	12204446	0.8153395	9203908	0.759445095	LAF007_lb_E2	LAF007	E2	0	year2019	1	1004	2.750684932	0	37.75	0
LAF007_lb_null.fastq.gz	LA	LA	10/11/18	q	10	2.965	23.72	9	424	21492.18	89699.4	d	18597389	17615823	0.947220225	15043628	0.808910756	10445135	0.699550097	LAF007_lb_null	LAF007	null	0	year2019	1	1004	2.750684932	0	37.75	0
LAF007_vert_null.fastq.gz	LA	LA	10/11/18	q	10	1.798	14.384	9	330	22442.99	115046.9	d	15436244	14743959	0.955151979	12784657	0.828223304	9139080	0.720729445	LAF007_vert_null	LAF007	null	1	year2019	1	1004	2.750684932	1	23.25	0
LAF008_lb_null.fastq.gz	LA	LA	10/10/18	h	10	1.925	15.4	9	418	189535.09	816294	d	18024141	17209024	0.954776375	14678762	0.814394539	10772351	0.739245586	LAF008_lb_null	LAF008	null	0	year2019	0	1003	2.747945205	0	49.375	0
LAF008_vert_null.fastq.gz	LA	LA	10/10/18	h	10	0.372	2.976	10	395	22467.6	101524.5	d	16930801	16131403	0.952784396	13710900	0.809819925	9826750	0.722382678	LAF008_vert_null	LAF008	null	1	year2019	0	1003	2.747945205	0	17.5	0
WAF011_lb_E2.fastq.gz	WA	WA	10/9/18	h	9	3.872	30.976	9	392	41932.02	184871.7	e	23781453	22731545	0.955851814	19616360	0.824859608	14740985	0.756386925	WAF011_lb_E2	WAF011	E2	0	year2019	0	1006	2.756164384	0	33.25	0
WAF011_lb_null.fastq.gz	WA	WA	10/9/18	h	9	3.79	30.32	9	386	106876.07	477717.1	e	20942218	20069104	0.958308428	17264395	0.824382355	12343795	0.720188393	WAF011_lb_null	WAF011	null	0	year2019	0	1006	2.756164384	0	33.25	0
