Input Sample	Baf3	B-cells_marginal_zone	C2C12	common_myeloid_progenitor	dendritic_cells_lymphoid_CD8a+	dendritic_cells_myeloid_CD8a-	dendritic_plasmacytoid_B220+	follicular_B-cells	granulo_mono_progenitor	granulocytes_mac1+gr1+	macrophage_bone_marrow	mast_cells	mast_cells_IgE	mega_erythrocyte_progenitor	NK_cells	osteoblast_day14	osteoblast_day21	osteoblast_day5	osteoclasts	RAW_264_7	T-cells_CD4+	T-cells_CD8+	T-cells_foxP3+	thymocyte_DP_CD4+CD8+	thymocyte_SP_CD4+	thymocyte_SP_CD8+	macrophage_peri_LPS_thio_0hrs	P-value	Pearson Correlation	RMSE	prop_ob	prop_blood	prop_mac
G1F022_lb_E2	0	0.0008	0.059600555	0.186898038	0	0.033470483	0	0	0	0.030239727	0.008615613	0	0	0	0	0	0.051883191	0.363297442	0	0	0	0.102392506	0.037754118	0.0441987	0	0	0.080844676	0	0.535059857	0.864166682	0.415180633	0.525213861	0.089460289
G1F022_lb_null	0.00199073	0.009664946	0.070272603	0.149663072	0	0.03422667	0	0	0	0.013618926	0.005717666	0	0.013196647	0	0	0	0.136406491	0.230451046	0	0	0	0.18551821	0.065634836	0.016001623	0	0	0.067636535	0	0.481733809	0.895804674	0.366857537	0.562869861	0.073354201
G1F025_lb_null	0	0.0001	0.063588472	0.234968795	0	0.043026217	0	0	0	0.023516905	0	0	0	0	0	0	0.068442549	0.218271843	0	0	0	0.212005481	0.0003	0.046920206	0	0	0.088897006	0	0.470272728	0.885305401	0.286714392	0.649734609	0.088897006
G1F025_v_null	0	0.020566557	0.11841276	0.075241819	0.001880806	0	0.009834887	0	0	0.018196563	0	0.007779938	0	0	0	0	0.092456797	0.272308248	0	0	0.134918416	0.052130941	0.038313823	0	0	0.094564613	0.063393831	0	0.543031776	0.855749039	0.364765046	0.516822195	0.063393831
G4F019_lb_null	0	0.0368325	0.05511509	0.136965192	0	0.044844798	0	0	0	0	0.023839502	0.014014889	0	0	0	0	0	0.383835728	0	0	0.073251029	0.076711038	0	0.023172662	0	0.062502526	0.068915046	0	0.542834495	0.849025718	0.383835728	0.561049182	0.092754548
G4F019_v_E2	0	0.043420467	0.063548111	0.081033624	0	0.035889681	0.0008	0	0	0.009341871	0.036700916	0.008051339	0	0	0	0	0.068574173	0.411156909	0	0	0.029174183	0.113572408	0	0	0	0.020636424	0.078078212	0	0.570227445	0.861378358	0.479731082	0.456699124	0.114779127
G4F019_v_null	0.001893472	0.051184935	0.059115617	0.076216813	0	0.046050846	0	0	0	0.007218951	0.030016319	0	0	0	0	0	0.051251854	0.413137213	0	0	0.078485276	0.09545232	0	0.01669044	0	0	0.073285944	0	0.572394169	0.850839063	0.464389066	0.476495316	0.103302264
G4F020_lb_E2	0.022576585	0.025593996	0.008126873	0.008801267	0.036321353	0	0	0	0.016609311	0	0.00932629	0.008588635	0	0	0	0.015590327	0	0.467855781	0	0	0.192349628	0.090257102	0	0	0	0.031628214	0.066374638	0	0.587130488	0.830934329	0.483446108	0.508427019	0.075700929
G4F020_lb_null	0	0.001686932	0.004713079	0.173574646	0	0.010815866	0.013190472	0.00172013	0	0.007501286	0.017914024	0	0.008082157	0	0	0.087447492	0	0.456037967	0	0	0.059059523	0.078696674	0	0	0	0	0.079559753	0	0.61630554	0.827724576	0.543485458	0.451801463	0.097473777
G4F020_v_null	0.008282824	0.076934791	0.029266411	0.023507981	0.018495024	0	0	0	0	0	0	0	0	0	0	0	0.081414703	0.357355045	0	0	0.201819544	0	0	0	0	0.133258299	0.069665378	0	0.562021772	0.846782238	0.438769748	0.531963841	0.069665378
