Row.names	beta_.Intercept.	beta_bone1	beta_daysinculture	beta_bone0.queen1	beta_bone1.queen1	beta_bone0.treatmentE2	beta_bone1.treatmentE2	se_.Intercept.	se_bone1	se_daysinculture	se_bone0.queen1	se_bone1.queen1	se_bone0.treatmentE2	se_bone1.treatmentE2	p_val_.Intercept.	p_val_bone1	p_val_daysinculture	p_val_bone0.queen1	p_val_bone1.queen1	p_val_bone0.treatmentE2	p_val_bone1.treatmentE2	fdr_Queen_at_lb	fdr_Queen_at_vert	Gene	Genename	highlight
ENSFDAG00000000040	0.109799782	-0.301727263	-0.048641066	2.248512384	1.280231869	0.116055938	0.086620745	1.512930027	0.074463005	0.019086646	0.264113765	0.291041867	0.074965692	0.098271389	0.928869537	0.268848712	0.724780136	1.21E-05	0.017640829	0.671658197	0.782304229	0.052178855	0.814176245	ENSFDAG00000000040_ARL11	ARL11	0
ENSFDAG00000000511	-0.814868446	0.000269442	0.076577681	1.188876865	0.717568067	0.013794216	-0.078214019	0.297234714	0.012283408	0.003766858	0.050982147	0.055318604	0.012389507	0.016232045	0.1350074	0.998060251	0.2121384	1.40E-07	0.002281591	0.901372156	0.539281088	0.052178855	0.4767	ENSFDAG00000000511_CTSV	CTSV	0
ENSFDAG00000000633	0.106766482	-0.117288906	-0.030528347	1.173172691	0.567601605	0.020419457	-0.018265177	0.312398605	0.023183201	0.003882387	0.057898975	0.066481143	0.023191542	0.03044068	0.84850939	0.441111082	0.624167592	1.08E-06	0.027709363	0.893335563	0.916623422	0.052178855	0.903123209	ENSFDAG00000000633_CTSZ	CTSZ	0
ENSFDAG00000000809	0.17030791	-0.102701115	-0.037825939	0.805241435	0.623837217	0.109660633	0.011442873	0.162202242	0.018573933	0.001962049	0.033095101	0.039854529	0.018391061	0.024149977	0.672390455	0.451107857	0.393130096	9.58E-06	0.001778815	0.41873067	0.941301843	0.052178855	0.4767	ENSFDAG00000000809_SGPL1	SGPL1	0
ENSFDAG00000001619	-0.377925802	-0.343491881	0.016413181	2.078900348	1.256063961	-0.081877903	0.041985682	1.260378369	0.065795528	0.015873008	0.221557091	0.245494758	0.066190961	0.08678555	0.736393935	0.180532822	0.896348368	1.00E-05	0.011242357	0.750295889	0.886668844	0.052178855	0.714195122	ENSFDAG00000001619_SHTN1	SHTN1	0
ENSFDAG00000001689	0.152285042	0.042381728	-0.013014027	-0.456178481	-0.061582301	0.060144649	0.10906196	0.031585494	0.007002897	0.000352749	0.008035615	0.010267032	0.006783623	0.00882838	0.391518403	0.612538137	0.488364286	3.60E-07	0.543345411	0.465242957	0.24574999	0.052178855	0.999843736	ENSFDAG00000001689_ENSFDAG00000001689	ENSFDAG00000001689	0
ENSFDAG00000001690	-0.187108954	-0.109204522	-0.024252075	2.33494164	1.774173477	0.054376463	-0.08565153	1.433803633	0.062708756	0.018145551	0.24722073	0.269556259	0.063215136	0.082835933	0.875827542	0.66277114	0.857122854	2.65E-06	0.00063267	0.828775686	0.766012234	0.052178855	0.391333333	ENSFDAG00000001690_CTSS	CTSS	0
ENSFDAG00000001714	-0.579997533	-0.052372706	0.060998703	0.692787879	0.347023546	0.020209251	-0.009495826	0.134405697	0.007941866	0.00168584	0.024015622	0.026932935	0.007975753	0.010461568	0.113640566	0.556744543	0.137375376	7.80E-06	0.034468674	0.820976275	0.926030803	0.052178855	0.953084577	ENSFDAG00000001714_ENSFDAG00000001714	ENSFDAG00000001714	0
ENSFDAG00000002238	-0.71818439	0.06534066	0.072126764	0.691882512	0.271463663	-0.063247817	-0.074567032	0.099814117	0.012748919	0.001195915	0.020990964	0.025580741	0.012583217	0.016518141	0.023013396	0.562797588	0.037008255	1.79E-06	0.089642514	0.572868483	0.561790063	0.052178855	0.999843736	ENSFDAG00000002238_HSD17B11	HSD17B11	0
ENSFDAG00000004439	-0.743282579	0.042412229	0.033753688	2.308884076	2.055197705	0.319295759	-0.580853325	1.501673922	0.102457422	0.018731673	0.274303479	0.312177677	0.102653224	0.134707985	0.544150029	0.894587977	0.805200279	1.04E-05	0.000234751	0.318974339	0.113513788	0.052178855	0.368571429	ENSFDAG00000004439_CLEC4E	CLEC4E	0
