termname	OR	FET_p	lower_or95	upper_or95	log2or	log2lower95	log2upper95	Q	T	QT	domainsize	tgroup	tgrouprep	tdepth	deepestterm	shallowestterm	Q&T list
leukocyte chemotaxis	8.999275804	8.92E-06	3.630036976	19.49024755	3.169808908	1.859984244	4.28468051	111	71	8	7481	4	1	1	0	1	"ENSFDAG00000003642,ENSFDAG00000006589,ENSFDAG00000010237,ENSFDAG00000014017,ENSFDAG00000015517,ENSFDAG00000017609,ENSFDAG00000018746,ENSFDAG00000018795"
superoxide anion generation	39.19722912	1.40E-05	8.289604229	157.5115506	5.292679768	3.051303225	7.299313818	111	11	4	7481	3	1	1	1	1	"ENSFDAG00000008203,ENSFDAG00000011667,ENSFDAG00000014156,ENSFDAG00000015372"
tissue remodeling	10.32138105	3.58E-06	4.138487655	22.53043995	3.367564118	2.049103654	4.49380358	111	63	8	7481	1	0	1	0	1	"ENSFDAG00000003642,ENSFDAG00000005799,ENSFDAG00000009326,ENSFDAG00000012430,ENSFDAG00000015372,ENSFDAG00000015535,ENSFDAG00000016821,ENSFDAG00000017834"
bone remodeling	16.7617802	5.07E-06	5.507513265	43.0003689	4.067103475	2.461401065	5.426277132	111	31	6	7481	1	0	2	0	0	"ENSFDAG00000003642,ENSFDAG00000005799,ENSFDAG00000015372,ENSFDAG00000015535,ENSFDAG00000016821,ENSFDAG00000017834"
bone resorption	24.74129845	6.47E-06	6.845348356	74.4705908	4.628849312	2.775123961	6.218598898	111	19	5	7481	1	0	3	1	0	"ENSFDAG00000003642,ENSFDAG00000005799,ENSFDAG00000015372,ENSFDAG00000015535,ENSFDAG00000016821"
positive regulation of tissue remodeling	49.47978373	4.79E-07	12.16698032	185.6887215	5.628767289	3.60489925	7.53674238	111	12	5	7481	1	0	1	0	1	"ENSFDAG00000003642,ENSFDAG00000005799,ENSFDAG00000009326,ENSFDAG00000015535,ENSFDAG00000016821"
positive regulation of bone remodeling	91.13145563	1.55E-06	15.25181885	622.396908	6.509877207	3.930909395	9.281691083	111	7	4	7481	1	0	2	0	0	"ENSFDAG00000003642,ENSFDAG00000005799,ENSFDAG00000015535,ENSFDAG00000016821"
positive regulation of bone resorption	91.13145563	1.55E-06	15.25181885	622.396908	6.509877207	3.930909395	9.281691083	111	7	4	7481	1	1	1	0	1	"ENSFDAG00000003642,ENSFDAG00000005799,ENSFDAG00000015535,ENSFDAG00000016821"
defense response	4.583368525	6.49E-08	2.704064916	7.474450653	2.19640829	1.435129787	2.90196755	111	399	22	7481	8	1	1	1	1	"ENSFDAG00000003642,ENSFDAG00000004439,ENSFDAG00000005603,ENSFDAG00000006280,ENSFDAG00000006589,ENSFDAG00000007107,ENSFDAG00000007481,ENSFDAG00000008203,ENSFDAG00000008870,ENSFDAG00000011628,ENSFDAG00000012093,ENSFDAG00000012430,ENSFDAG00000012514,ENSFDAG00000014241,ENSFDAG00000014980,ENSFDAG00000015057,ENSFDAG00000015372,ENSFDAG00000015459,ENSFDAG00000016970,ENSFDAG00000018555,ENSFDAG00000018795,ENSFDAG00000021370"
astrocyte cell migration	Inf	3.18E-06	27.75573032	Inf	Inf	4.794713749	Inf	111	3	3	7481	6	1	1	0	0	"ENSFDAG00000006589,ENSFDAG00000012912,ENSFDAG00000015517"
