"term"	"OR"	"log2or"	"log2lower95"	"log2upper95"	"FET_p"
"1"	"EWS:ERG-fusion"	"2.35625018641758"	"1.23649273252187"	"0.706028271226113"	"1.75351565931729"	4.85600525911772e-06
"2"	"SpiB"	"2.84120336297844"	"1.50650209807456"	"0.84507596312408"	"2.12453514922354"	1.37850556766647e-05
"3"	"ETS:E-box"	"4.129299230098"	"2.04589696734833"	"1.11424021160872"	"2.87030683532892"	2.65769177252331e-05
"4"	"Ets1-distal"	"2.42623819377217"	"1.27872119271111"	"0.62823551234554"	"1.88757999012209"	9.11508605096868e-05
"5"	"HNF6"	"2.39615333303234"	"1.2607202310513"	"0.600541274745184"	"1.87742864143823"	0.000214120445206926
"6"	"ELF3"	"1.96433215803892"	"0.974038902278854"	"0.438191565851034"	"1.49466447522801"	0.00026777546615637
"7"	"PU.1"	"2.05792258188439"	"1.04118870971861"	"0.463847956122992"	"1.59308534995871"	0.000284356424672328
"8"	"ELF5"	"1.85293412153179"	"0.88981158928265"	"0.35719887242472"	"1.40818288466897"	0.000809971599306102
"9"	"Cux2"	"2.19419120625994"	"1.13368925058317"	"0.381109886139305"	"1.82106392470554"	0.00306555087451152
"10"	"Reverb"	"2.42706522016079"	"1.27921287714924"	"0.387998030704818"	"2.0703002594188"	0.00384389141083782
"11"	"MITF"	"1.63251473854796"	"0.70709601666241"	"0.168568404828116"	"1.22946630267446"	0.00735833268314402
"12"	"THRa"	"1.75103444492549"	"0.80820746357411"	"0.168855588524467"	"1.40800050668458"	0.00895405094927229
"14"	"HNF1b"	"2.98514073787231"	"1.57779895060032"	"0.316352228919893"	"2.62568248416609"	0.00789426928476828
