filename,queenstatus,natalcolony,natal_litter,litter_mate
ARF002_FEM_100K_aligned_aligned.off,0,AR,AR,0
BEF001_FEM_100K_aligned_aligned.off,0,BE,BE,0
CRF002_FEM_100K_aligned_aligned.off,0,CR,CR_1,0
CRF007_FEM_100K_aligned_aligned.off,1,CR,CR_2,0
DVF007_FEM_100K_aligned_aligned.off,1,DV,DV,1
DVF008_FEM_100K_aligned_aligned.off,0,DV,DV,1
G10F023_FEM_100K_aligned_aligned.off,0,G10,G10_1,1
G10F024_FEM_100K_aligned_aligned.off,1,G10,G10_1,1
G10F025_FEM_100K_aligned_aligned.off,0,G10,G10_1,1
G10F026_FEM_100K_aligned_aligned.off,1,G10,G10_2,0
G1F022_FEM_100K_aligned_aligned.off,0,G1,G1,1
G1F025_FEM_100K_aligned_aligned.off,0,G1,G1,1
G4F019_FEM_100K_aligned_aligned.off,0,G4,G4,1
G4F020_FEM_100K_aligned_aligned.off,0,G4,G4,1
GRF001_FEM_100K_aligned_aligned.off,1,GR,GR_1,1
GRF002_FEM_100K_aligned_aligned.off,0,GR,GR_1,1
GRF003_FEM_100K_aligned_aligned.off,0,GR,GR_2,1
GRF004_FEM_100K_aligned_aligned.off,1,GR,GR_2,1
GRF007_FEM_100K_aligned_aligned.off,0,GR,GR_3,0
HEF001_FEM_100K_aligned_aligned.off,1,HE,HE,0
L2F009_FEM_100K_aligned_aligned.off,0,L2,L2_1,0
L2F010_FEM_100K_aligned_aligned.off,0,L2,L2_2,0
L2F020_FEM_100K_aligned_aligned.off,1,L2,L2_3,0
LAF007_FEM_100K_aligned_aligned.off,1,LA,LA,1
LAF008_FEM_100K_aligned_aligned.off,0,LA,LA,1
MAF003_FEM_100K_aligned_aligned.off,0,MA,MA_1,1
MAF006_FEM_100K_aligned_aligned.off,1,MA,MA_1,1
MAF008_FEM_100K_aligned_aligned.off,0,MA,MA_2,0
N0F007_FEM_100K_aligned_aligned.off,0,NO,NO,1
N0F009_FEM_100K_aligned_aligned.off,1,NO,NO,1
TIF003_FEM_100K_aligned_aligned.off,1,TI,TI_1,1
TIF005_FEM_100K_aligned_aligned.off,0,TI,TI_1,1
WAF011_FEM_100K_aligned_aligned.off,0,WA,WA,1
WAF014_FEM_100K_aligned_aligned.off,1,WA,WA,1
WEF001_FEM_100K_aligned_aligned.off,0,WE,WE,1
WEF002_FEM_100K_aligned_aligned.off,0,WE,WE,1
