filename,queenstatus,natalcolony
ARF002_LV6_cleaned100K_aligned.off,0,AR
BEF001_LV6_cleaned100K_aligned.off,0,BE
CRF002_LV6_cleaned100K_aligned.off,0,CR
DVF007_LV6_cleaned100K_aligned.off,1,DV
DVF008_LV6_cleaned100K_aligned.off,0,DV
G10F023_LV6_cleaned100K_aligned.off,0,G10
G10F024_LV6_cleaned100K_aligned.off,1,G10
G10F025_LV6_cleaned100K_aligned.off,0,G10
G10F026_LV6_cleaned100K_aligned.off,1,G10
G1F022_LV6_cleaned100K_aligned.off,0,G1
G1F025_LV6_cleaned100K_aligned.off,0,G1
G4F019_LV6_cleaned100K_aligned.off,0,G4
G4F020_LV6_cleaned100K_aligned.off,0,G4
GRF001_LV6_cleaned100K_aligned.off,1,GR
GRF002_LV6_cleaned100K_aligned.off,0,GR
GRF003_LV6_cleaned100K_aligned.off,0,GR
GRF004_LV6_cleaned100K_aligned.off,1,GR
GRF005_LV6_cleaned100K_aligned.off,0,GR
GRF007_LV6_cleaned100K_aligned.off,0,GR
HEF001_LV6_cleaned100K_aligned.off,1,HE
L2F009_LV6_cleaned100K_aligned.off,0,L2
L2F010_LV6_cleaned100K_aligned.off,0,L2
L2F020_LV6_cleaned100K_aligned.off,1,L2
LAF007_LV6_cleaned100K_aligned.off,1,LA
LAF008_LV6_cleaned100K_aligned.off,0,LA
MAF003_LV6_cleaned100K_aligned.off,0,MA
MAF008_LV6_cleaned100K_aligned.off,0,MA
N0F007_LV6_cleaned100K_aligned.off,0,NO
N0F009_LV6_cleaned100K_aligned.off,1,NO
TIF003_LV6_cleaned100K_aligned.off,1,TI
TIF005_LV6_cleaned100K_aligned.off,0,TI
TIF008_LV6_cleaned100K_aligned.off,0,TI
WAF011_LV6_cleaned100K_aligned.off,0,WA
WAF014_LV6_cleaned100K_aligned.off,1,WA
WEF001_LV6_cleaned100K_aligned.off,0,WE
WEF002_LV6_cleaned100K_aligned.off,0,WE
