Name	ageatsac	pair	queen	TA	CA	CA.TA	Xbar	Ybar	Ix	Iy	Imax	Imin	Theta	Zx	Zy	MaxXrad	MaxYrad	J	Zp	MaxRad
DVF007_LV6	2.76	DV	q	40.6537	7.1421	0.175681426	4.859	3.581	43.8279	43.2261	45.0655	41.9886	50.6395	10.3636	8.9267	4.8423	4.229	87.0541	17.7227	4.912
DVF008_LV6	2.75	DV	n	38.5186	6.4991	0.168726278	4.4536	3.7689	39.3922	36.3818	39.5429	36.2311	-77.6839	10.4365	8.1997	4.4369	3.7745	75.774	16.6143	4.5608
G10F023_LV6	3.95	G10	n	46.0714	4.9805	0.108103943	3.9472	3.8233	41.0471	28.2472	41.1773	28.1171	-84.2701	8.721	7.1623	3.9439	4.7067	69.2944	14.6565	4.7279
G10F024_LV6	3.95	G10	q	47.251	4.6398	0.098194747	4.689	4.0318	37.4812	29.8056	37.522	29.7647	-85.8401	7.9383	6.3792	4.6723	4.7216	67.2868	14.2466	4.723
GRF001_LV6	3.36	GR_a	q	49.195	5.2301	0.10631365	4.6107	4.0215	37.276	42.4295	42.8326	36.873	-15.0732	9.253	8.5098	4.986	4.0285	79.7056	15.9507	4.997
GRF002_LV6	3.36	GR_a	n	48.4875	5.847	0.12058778	4.439	4.4856	54.0196	35.8239	54.1412	35.7023	-85.342	10.0388	8.0945	4.4257	5.3811	89.8434	16.7045	5.3784
GRF003_LV6	2.82	GR_b	n	41.9626	5.859	0.139624332	4.2759	3.9386	41.7902	33.8559	42.327	33.3191	-75.87	9.9864	7.9426	4.2626	4.1847	75.6461	16.1307	4.6896
GRF004_LV6	2.81	GR_b	q	42.5882	6.4528	0.151516148	4.2458	3.8839	47.6769	33.8055	47.6786	33.8038	89.3674	11.5736	7.699	4.3909	4.1195	81.4824	18.5513	4.3923
LAF007_LV6	2.75	LA	q	44.5675	6.6668	0.149588826	4.6574	4.1546	50.9418	39.004	50.9518	38.994	88.3416	12.279	8.3772	4.656	4.1487	89.9459	18.8922	4.761
LAF008_LV6	2.75	LA	n	40.8154	6.7451	0.165258701	5.115	3.9523	39.6705	47.6567	47.6645	39.6627	1.7937	10.0799	9.3475	5.0984	3.9356	87.3272	16.6761	5.2367
N0F007_LV6	2.95	NO	n	43.7626	6.5792	0.150338417	4.4272	3.9201	48.0387	38.1723	48.1483	38.0627	84.0175	10.9098	8.4151	4.5361	4.4033	86.211	18.7641	4.5945
N0F009_LV6	2.95	NO	q	55.8552	6.1263	0.10968182	5.0106	4.0456	58.668	45.4983	58.7686	45.3977	-85.024	10.4994	9.1107	4.9939	5.5877	104.1663	18.6301	5.5913
WAF011_LV6	2.76	WA	n	43.8638	6.165	0.140548698	5.4333	3.9266	38.6358	44.2584	44.3392	38.555	-6.7896	9.4232	8.1658	5.42	4.1001	82.8942	15.2568	5.4333
WAF014_LV6	2.75	WA	q	46.8148	7.5601	0.161489529	5.7424	4.205	50.8653	56.7678	56.7947	50.8384	3.8537	11.6352	9.9145	5.7257	4.3717	107.6331	18.7865	5.7293
