Animal_ID	Age_in_years	Breeding_status	Number_offspring_born	Proportion_growth_plate_fusion_tibia	Chondrocyte_columns_per_mm_tibia	Proportion_growth_plate_fusion_LV7_caudal	Proportion_growth_plate_fusion_LV7_cranial	Proportion_growth_plate_fusion_LV7_average	Chondrocyte_columns_per_mm_LV7_caudal	Chondrocyte_columns_per_mm_LV7_cranial
G10F023	3.950684932	non-breeder	0	0.549	0.381388253	0	0	0	3.006012024	1.227797332
G10F024	3.953424658	breeder	1	0.231	1.360544218	0.156179513	NA	0.156179513	1.659139091	2.011888432
GRF007	2.632876712	non-breeder	0	0	5.173688101	0.236752752	0.252840767	0.24479676	2.291722836	1.607932467
GRF001	3.35890411	breeder	9	1	0	0.41640782	0.312739901	0.364573861	0.469630557	1.767825575
G10F026	3.646575342	breeder	1	0.066	1.814744802	0	NA	0	2.695014224	0
NOF009	2.945205479	breeder	6	NA	NA	NA	0	0	1.36765889	1.443174985
NOF007	2.947945205	non-breeder	0	0	3.725740978	NA	NA	NA	NA	NA
L2F020	3.082191781	breeder	10	0.934	2.773925104	0.202876798	0.401706286	0.302291542	0	2.398384246
MAF008	2.526027397	non-breeder	0	0	3.182429404	0	0	0	0.858369099	2.900763359
MAF006 	3.101369863	breeder	9	0	2.769971899	0	0	0	1.717828068	2.341463415
HEF001	3.575342466	breeder	19	1	0	0	0	0	1.292579075	2.037201063
CRF002	3.991780822	non-breeder	0	0.467	0.573476703	0	0	0	5.382221848	1.784439686
CRF007	2.939726027	breeder	14	1	0	0	0	0	2.525556224	1.15406809
