	Queen	TV	BV	BV_TV	mean_material_density_bv	mean_apparent_density_tv	offspring	pair
DVF007	1	4.0363	3.3176	0.8219	1262.233	1044.0521	3	DV
DVF008	0	3.9925	3.3892	0.8489	1258.3704	1075.3405	0	DV
G10F023	0	3.9652	2.7742	0.6996	1305.3027	920.8948	0	G10
G10F024	1	5.5148	3.3778	0.6125	1315.6677	817.7594	1	G10
GRF001	1	4.1564	2.664	0.6409	1224.1206	797.3513	9	GR_a
GRF002	0	4.5546	3.7034	0.8131	1261.6537	1036.4554	0	GR_a
GRF003	0	3.735	2.9879	0.8	1234.9363	999.0511	0	GR_b
GRF004	1	4.1302	3.3361	0.8077	1237.3827	1009.6737	2	GR_b
LAF007	1	3.6142	3.0829	0.853	1249.0997	1072.5077	0	LA
LAF008	0	3.4714	3.1743	0.9144	1255.4733	1150.9215	0	LA
MAF003	0	4.3562	3.3001	0.7576	1280.6455	981.9263	0	MA
MAF006	1	3.5707	1.9191	0.5375	1280.3236	698.7224	9	MA
N0F007	0	5.2971	4.3341	0.8182	1296.0964	1066.3917	0	NO
NOF009	1	4.8834	3.2938	0.6745	1295.6459	885.7438	6	NO
TIF003	1	4.1538	2.4521	0.5903	1306.3972	784.8617	12	TI
TIF005	0	3.174	2.3781	0.7492	1282.255	971.6256	0	TI
WAF011	0	4.2202	2.7203	0.6446	1252.3187	813.8323	0	WA
WAF014	1	5.2916	3.2121	0.607	1252.5118	772.8228	3	WA
