Bone	BV/TV	BV	BS/BV	TB.N	BS	TV	TB.Sp	TB.Th	BV/TV	BV	TB.N	SMI	TV	Conn. D.	TB.Sp	TB.Th	H2	H3	H1	DA
DVF007	0.1832	1.8507	37.3825	3.4244	69.1824	10.1014	0.2385	0.0535	0.182	1.8577	2.7689	1.1458	10.2048	85.2047	0.3645	0.0758	0.3837	0.2926	0.2416	1.5879
DVF008	0.1801	1.3724	34.8769	3.1406	47.8654	7.6204	0.2611	0.0573	0.1797	1.3849	2.6693	1.3978	7.7055	87.1453	0.3868	0.0839	0.4399	0.3103	0.263	1.6725
G10F023	0.237	1.9679	28.1156	3.3321	55.3287	8.3024	0.229	0.0711	0.2349	1.9727	2.8076	0.962	8.3984	53.1057	0.3589	0.0944	0.3987	0.2894	0.2544	1.5677
G10F024	0.2534	2.9035	28.282	3.5828	82.1162	11.4599	0.2084	0.0707	0.2503	2.8944	2.7179	0.5673	11.5619	69.0628	0.3878	0.0914	0.3727	0.2637	0.2401	1.5522
GRF001	0.3847	6.4063	27.3094	5.2525	174.9523	16.6542	0.1172	0.0732	0.3784	6.3571	5.4882	-0.1443	16.8009	131.1835	0.1847	0.0818	0.2069	0.1899	0.1774	1.1665
GRF002	0.3799	3.6412	22.2953	4.2347	81.1823	9.5854	0.1464	0.0897	0.3754	3.6375	3.7318	0.4293	9.6897	69.0938	0.2664	0.1153	0.301	0.2217	0.2092	1.4385
GRF003	0.3455	3.6449	29.3199	5.0647	106.8687	10.5504	0.1292	0.0682	0.3404	3.6266	5.06	0.1741	10.6533	130.4765	0.1954	0.0828	0.2654	0.1837	0.1715	1.5475
GRF004	0.4459	4.1624	20.8236	4.6428	86.6757	9.3345	0.1193	0.096	0.441	4.1665	5.9968	0.8354	9.4473	74.6775	0.1587	0.1232	0.2581	0.201	0.1992	1.296
LAF007	0.3756	3.0647	23.8233	4.4736	73.0107	8.1601	0.1396	0.084	0.3708	3.0574	4.0111	0.3655	8.2466	99.1321	0.244	0.1136	0.3273	0.207	0.1877	1.7441
LAF008	0.3132	2.3591	25.3585	3.9711	59.8241	7.5325	0.173	0.0789	0.3097	2.3593	3.1785	0.7379	7.6176	89.2016	0.3305	0.1112	0.3491	0.2456	0.2075	1.6828
MAF003	0.3716	7.8682	27.861	5.1765	219.2164	21.174	0.1214	0.0718	0.3644	7.775	4.6351	-0.2385	21.3348	161.0046	0.2186	0.0892	0.2131	0.198	0.1738	1.2261
MAF006	0.3066	5.8771	31.9392	4.8964	187.7087	19.168	0.1416	0.0626	0.3014	5.8232	4.3418	0.0201	19.3181	154.363	0.2455	0.0763	0.221	0.2037	0.1909	1.1575
NOF007	0.4812	8.239	20.372	4.9011	167.8448	17.1233	0.1059	0.0982	0.4721	8.1638	5.0475	-1.6723	17.2933	172.7262	0.2102	0.1194	0.2118	0.2053	0.1959	1.0812
NOF009	0.3011	6.342	30.841	4.6432	195.5935	21.0625	0.1505	0.0648	0.2968	6.3036	3.424	0.1081	21.2373	161.1552	0.3136	0.0791	0.2383	0.2118	0.2005	1.1887
TIF003	0.3535	6.1499	26.5317	4.6899	163.1664	17.3956	0.1378	0.0754	0.3456	6.0772	3.7155	-0.6217	17.5829	76.2958	0.304	0.0879	0.2323	0.2157	0.196	1.1851
TIF005	0.412	6.4023	25.7298	5.3005	164.7305	15.5392	0.1109	0.0777	0.4041	6.3331	5.4836	-0.8291	15.6734	142.2793	0.1938	0.0898	0.1966	0.1866	0.1836	1.0709
WAF011	0.2011	1.421	31.2373	3.1403	44.3895	7.0676	0.2544	0.064	0.2	1.4285	2.3591	1.2627	7.1417	97.2453	0.4484	0.0978	0.4328	0.3141	0.2626	1.6483
WAF014	0.2525	1.7159	28.7072	3.6243	49.2589	6.7956	0.2062	0.0697	0.25	1.7167	3.5075	0.9829	6.8671	87.8825	0.3008	0.102	0.399	0.2685	0.2239	1.7825
