Bone	BV/TV	BV	BS/BV	TB.N	BS	TV	TB.Sp	TB.Th	BV/TV	BV	TB.N	SMI	TV	Conn. D.	TB.Sp	TB.Th	H2	H3	H1	DA
GRF004	0.3506	1.3135	26.0357	4.5637	34.1973	3.7467	0.1423	0.0768	0.3468	1.3183	6.3517	0.1684	3.8017	62.34	0.1589	0.086	0.324	0.1975	0.1876	1.727
NOF009	0.2384	0.8673	31.9839	3.8129	27.739	3.6375	0.1997	0.0625	0.2373	0.8781	4.3801	0.3595	3.7001	63.5115	0.2395	0.0696	0.3912	0.2445	0.2172	1.8012
DVF007	0.2434	0.7409	25.0551	3.0497	18.5625	3.0433	0.2481	0.0798	0.2409	0.7488	3.1308	0.4672	3.1091	27.1786	0.3365	0.0885	0.472	0.31	0.2721	1.7343
WAF014	0.1971	0.7982	29.1168	2.8688	23.2417	4.0508	0.2799	0.0687	0.1956	0.8031	3.7282	0.6304	4.1053	27.0382	0.2873	0.0765	0.5359	0.3131	0.2949	1.8174
LAF008	0.2967	1.1108	23.773	3.5264	26.4081	3.7444	0.1994	0.0841	0.2943	1.1185	3.6104	0.0474	3.8002	30.1296	0.2992	0.0924	0.4359	0.2606	0.2351	1.8539
GRF003	0.3035	0.8726	29.6774	4.5041	25.8979	2.8749	0.1546	0.0674	0.2992	0.8775	5.0175	-0.203	2.9329	47.9041	0.2093	0.0709	0.3331	0.2039	0.1858	1.7929
NOF007	0.2855	0.8429	25.4544	3.6332	21.4553	2.9526	0.1967	0.0786	0.2824	0.8512	4.0705	0.3105	3.0143	33.6726	0.2486	0.0879	0.4161	0.248	0.2334	1.7828
GRF001	0.3208	1.3451	25.883	4.1517	34.8142	4.1928	0.1636	0.0773	0.3168	1.3483	4.5476	-0.3958	4.2557	46.9961	0.2261	0.079	0.3652	0.2313	0.1936	1.8861
G10F023	0.1908	0.6704	29.3872	2.8029	19.7022	3.5146	0.2887	0.0681	0.1889	0.6745	2.9234	0.2918	3.57	22.969	0.3629	0.0743	0.4966	0.3416	0.2975	1.6692
WAF011	0.2548	0.784	25.1778	3.2078	19.7391	3.0768	0.2323	0.0794	0.2538	0.7932	3.3617	0.4912	3.125	35.2002	0.3041	0.0907	0.4415	0.2884	0.2654	1.6634
TIF005	0.2404	0.9627	30.4726	3.6621	29.3354	4.0053	0.2074	0.0656	0.239	0.9715	5.1148	0.3858	4.0657	52.6357	0.2123	0.0692	0.4351	0.2412	0.2315	1.8793
DVF008	0.1758	0.5045	30.3871	2.6713	15.3315	2.8697	0.3085	0.0658	0.1747	0.5133	2.483	0.7452	2.9372	21.4487	0.4098	0.0785	0.5313	0.3484	0.3167	1.6774
G10F024	0.2706	1.458	29.2941	3.9639	42.7119	5.3876	0.184	0.0683	0.2669	1.4554	3.5444	-0.155	5.4527	41.4476	0.2904	0.075	0.4022	0.2284	0.2092	1.9221
LAF007	0.3646	1.1335	22.8792	4.1704	25.9343	3.1093	0.1524	0.0874	0.361	1.1425	4.4257	-0.5185	3.1644	48.3497	0.2371	0.0914	0.3506	0.2193	0.2035	1.7227
GRF002	0.352	1.3637	26.4608	4.6568	36.0854	3.8745	0.1392	0.0756	0.3473	1.3692	5.0271	-0.3523	3.9424	59.4818	0.2032	0.0796	0.2996	0.201	0.1821	1.6449
TIF003	0.2463	1.5541	36.1941	4.4575	56.2495	6.3095	0.1691	0.0553	0.2461	1.5763	5.9105	1.1945	6.4057	140.0318	0.1769	0.0648	0.2683	0.214	0.2033	1.3195
MAF003	0.2279	1.0321	36.8868	4.2029	38.0692	4.529	0.1837	0.0542	0.2256	1.0374	4.3881	0.4537	4.5978	94.067	0.2301	0.0632	0.3742	0.2164	0.1973	1.8963
MAF006	0.208	0.9123	37.2926	3.8791	34.0225	4.3853	0.2042	0.0536	0.2049	0.9151	4.0383	0.217	4.4657	65.4996	0.254	0.0607	0.3956	0.2328	0.2171	1.8219
