Bone	BV/TV	BV	BS/BV	TB.N	BS	TV	TB.Sp	TB.Th	BV/TV	BV	TB.N	SMI	TV	Conn. D.	TB.Sp	TB.Th	H2	H3	H1	DA
G10F023	0.1406	0.6896	24.0628	1.6913	16.5942	4.9057	0.5081	0.0831	0.1404	0.6984	1.7053	1.2824	4.9736	6.9366	0.591	0.1061	0.9406	0.5201	0.5032	1.8694
G10F024	0.1687	1.0642	23.0684	1.9458	24.5487	6.3081	0.4272	0.0867	0.1681	1.0731	2.036	0.7264	6.3839	14.568	0.5332	0.1041	0.755	0.488	0.422	1.7891
DVF007	0.2945	1.1669	23.6635	3.485	27.614	3.9618	0.2024	0.0845	0.2923	1.1774	4.9465	1.3227	4.0275	46.6786	0.2118	0.105	0.3825	0.2686	0.2488	1.5373
NOF009	0.1692	0.9084	30.4775	2.5786	27.6843	5.368	0.3222	0.0656	0.1688	0.9173	2.4216	1.1165	5.4325	26.4611	0.4017	0.0835	0.6143	0.3679	0.3102	1.98
DVF008	0.1286	0.5351	34.723	2.2326	18.5809	4.1612	0.3903	0.0576	0.1291	0.5459	2.803	1.8982	4.2272	20.8174	0.3633	0.0755	0.7092	0.4427	0.3476	2.0402
GRF001	0.3191	1.9861	22.4696	3.5847	44.6268	6.2246	0.19	0.089	0.3158	1.9917	3.3904	0.1873	6.3062	31.0011	0.296	0.0982	0.4012	0.2572	0.2368	1.6941
MAF006	0.1089	0.6644	32.9035	1.7915	21.8627	6.1017	0.4974	0.0608	0.1094	0.6754	2.2106	1.5806	6.1729	11.3398	0.4646	0.079	0.8997	0.5092	0.4581	1.9642
NOF007	0.1525	0.628	22.9524	1.7496	14.4134	4.119	0.4844	0.0871	0.1531	0.6396	1.9994	1.6746	4.179	9.9306	0.547	0.1128	0.839	0.5178	0.4883	1.7182
WAF014	0.1559	0.8829	25.3761	1.9779	22.4057	5.664	0.4268	0.0788	0.1558	0.8938	1.7692	1.523	5.7385	17.4262	0.6052	0.1029	0.7383	0.4841	0.4131	1.7873
LAF008	0.2253	0.7135	21.2768	2.3972	15.1816	3.1665	0.3232	0.094	0.224	0.721	2.7958	1.4164	3.2183	14.6042	0.38	0.1271	0.615	0.38	0.3539	1.7377
GRF004	0.3394	1.3174	21.8648	3.7106	28.804	3.8813	0.178	0.0915	0.3366	1.3261	4.9254	1.418	3.9396	41.1208	0.1943	0.1162	0.3832	0.2415	0.236	1.6237
WAF011	0.0717	0.3356	28.1287	1.0089	9.4394	4.678	0.9201	0.0711	0.0727	0.3449	1.1533	2.5044	4.7426	4.6388	0.8937	0.097	1.4489	0.8969	0.8489	1.7068
GRF003	0.2752	1.105	25.3626	3.4893	28.0269	4.0161	0.2077	0.0789	0.2733	1.1139	3.83	0.8073	4.0754	27.2365	0.2628	0.094	0.4716	0.2536	0.2399	1.9659
LAF007	0.2384	0.7209	22.8325	2.7215	16.4604	3.0241	0.2799	0.0876	0.2376	0.7297	2.5223	1.4788	3.0716	23.1153	0.4079	0.1149	0.5691	0.3301	0.3098	1.8369
GRF002	0.3386	1.578	22.5835	3.8238	35.6374	4.6599	0.173	0.0886	0.3348	1.583	3.8705	0.3353	4.7286	36.7975	0.2492	0.1026	0.3854	0.2548	0.2103	1.8324
MAF003	0.1081	0.5229	29.6001	1.5996	15.4773	4.8378	0.5576	0.0676	0.1088	0.5336	1.9437	2.1293	4.9026	11.5246	0.5292	0.0959	1.0375	0.5924	0.4929	2.1048
