Name	lham_start_date	weight_date	weight	sac_date	number_litters_born	litter_birthdates	last_litter_date	daysbetweensaclastlitter	number_offspring_born	pups_30days_or_younger	scaling_factor	femur_bone_length	marrow_area	periosteal_area	min_cortical_thickness	pair	status	queen	Scale	TA	CA	Xbar	Ybar	Ix	Iy	Imax	Imin	Theta	Zx	Zy	MaxXrad	MaxYrad	J	Zp	MaxRad
ARF002	10/30/17	10/1/18 0:00	179	10/3/18	0	0	0	0	0	0	1719.680359	21.676	1.378	4.99	0.447	NA	h	n	300pixels/inch	4.9902	3.5472	1.1478	1.3476	2.2322	1.6751	2.6304	1.2769	-57.1521	1.4924	1.2766	1.3122	1.4957	3.9073	2.4404	1.6011
BEF001	NA	10/12/18 0:00	123	10/12/18	0	0	0	0	0	0	1741.488145	22.247	0.85	4.03	0.376	NA	h	n	300pixels/inch	4.0296	3.1289	0.9099	1.3804	1.9582	0.9432	2.2159	0.6855	-65.7726	1.3146	0.8522	1.1068	1.4896	2.9014	1.844	1.5734
CRF002	NA	12/12/17 0:00	173	12/13/17	0	0	0	0	0	0	1731.770166	20.893	0.445	3.735	0.552	NA	h	n	300pixels/inch	3.7346	3.2535	0.9632	1.2297	1.4965	0.8943	1.6765	0.7143	-64.3726	1.1628	0.8766	1.0201	1.287	2.3908	1.7712	1.3498
CRF007	6/8/16	12/13/17 0:00	112	12/14/17	4	11/14/16;2/24/17;6/9/17;11/16/17	11/16/17	28	14	3	1640.002657	20.159	1.528	3.571	0.233	NA	q	q	300pixels/inch	3.5709	1.9751	0.9288	1.1153	0.9746	0.7212	1.1269	0.569	-58.5089	0.8274	0.614	1.1746	1.178	1.6959	1.2664	1.3391
DVF007	10/31/17	10/5/18 0:00	166	10/5/18	1	5/19/18	5/19/18	139	3	0	1740.777361	22.315	0.848	4.022	0.371	DV	q	q	300pixels/inch	4.0215	3.1232	0.9148	1.3783	1.9381	0.9521	2.208	0.6822	-65.1269	1.308	0.8563	1.1119	1.4817	2.8902	1.8415	1.5695
DVF008	10/31/17	10/3/18 0:00	167	10/4/18	0	0	0	0	0	0	1719.654557	21.729	0.454	3.562	0.451	DV	h	n	300pixels/inch	3.5617	3.0717	0.9042	1.2451	1.5056	0.8164	1.7422	0.5798	-63.1799	1.0716	0.766	1.0658	1.4049	2.322	1.5631	1.4855
G1F022	1/21/16	12/9/17 0:00	151	12/10/17	0	0	0	0	0	0	1826.905224	22.626	0.702	3.884	0.435	NA	h	n	300pixels/inch	3.8838	3.1373	1.0262	1.2389	1.4752	1.0904	1.8144	0.7512	-55.6081	1.1167	0.9396	1.1605	1.3211	2.5656	1.7696	1.4498
G1F025	1/21/16	12/10/17 0:00	201	12/11/17	0	0	0	0	0	0	1875.639759	23.499	2.22	6.292	0.288	NA	s	n	300pixels/inch	6.2923	3.9955	1.2444	1.4952	3.2589	2.5472	3.8742	1.9318	-55.7476	2.0826	1.666	1.5289	1.5648	5.806	3.3116	1.7532
G4F019	2/4/16	12/5/17 0:00	148	12/7/17	0	0	0	0	0	0	1756.001795	22.031	0.993	3.01	0.289	NA	h	n	300pixels/inch	3.0101	1.9628	0.8714	1.1595	0.9279	0.54	1.0996	0.3682	-61.0138	0.7623	0.5389	1.0019	1.2172	1.4678	1.1168	1.3143
G4F020	2/4/16	11/30/17 0:00	128	12/7/17	0	0	0	0	0	0	1620.373281	20.602	0.86	3.068	0.353	NA	s	n	300pixels/inch	3.0681	2.1564	0.8343	1.1352	0.9891	0.5359	1.0974	0.4276	-66.2937	0.7903	0.54	0.9923	1.2515	1.525	1.181	1.2913
G10F023	12/18/15	10/13/17	109	10/19/17	0	0	0	0	0	0	1764.174124	21.414	0.879	3.587	0.281	G10	h	n	300pixels/inch	3.5869	2.657	0.9175	1.2133	1.3947	0.8351	1.6694	0.5605	-60.1515	1.0131	0.7226	1.1558	1.3767	2.2298	1.5383	1.4496
G10F024	12/18/15	10/19/17	140	10/20/17	1	9/22/17	9/22/17	28	1	1	1870.510292	23.137	1.78	4.904	0.257	G10	q	q	300pixels/inch	4.9042	3.0525	1.1727	1.3478	2.1719	1.5395	2.656	1.0554	-56.6355	1.449	1.107	1.3907	1.4989	3.7114	2.246	1.6525
G10F025	12/18/15	10/20/17 0:00	172	10/21/17	0	0	0	0	0	0	1767.091904	22.313	1.971	5.787	0.294	NA	s	n	300pixels/inch	5.7868	3.7409	1.1587	1.4618	3.1119	2.0418	3.5812	1.5724	-61.0942	1.8729	1.4101	1.448	1.6615	5.1537	2.9228	1.7633
G10F026	6/18/17	11/23/17 0:00	142	11/24/17	1	10/27/17	10/27/17	28	2	2	1665.779107	21.344	1.375	4.209	0.195	NA	q	q	300pixels/inch	4.2089	2.772	1.0422	1.2179	1.3423	1.1661	1.6169	0.8915	-52.0261	1.1143	0.8849	1.3178	1.2046	2.5084	1.6927	1.4819
GRF001	2/24/16	11/29/17	130	11/30/17	4	6/28/16;10/9/16;1/24/17;5/28/17	5/28/17	186	9	0	1703.870009	21.417	1.17	3.711	0.293	GR_a	q	q	300pixels/inch	3.7114	2.4802	0.9973	1.2858	1.2815	0.8991	1.5928	0.5879	-56.1829	0.9979	0.7667	1.1727	1.2842	2.1807	1.4888	1.4647
GRF002	2/16/16	11/29/17 0:00	122	12/1/17	0	0	0	0	0	0	1677.868843	21.16	0.61	4.01	0.42	GR_a	s	n	300pixels/inch	4.0099	3.3575	0.9899	1.3164	1.8068	1.0715	2.1445	0.7338	-60.7084	1.2603	0.921	1.1634	1.4336	2.8783	1.8596	1.5478
