gene_id	mean_nucA_count	mean_nucC_count	mean_nucG_count	mean_nucT_count	mean_nucN_count	mean_nucO_count	mean_gene_length	mean_gc_content
ENSFDAG00000003221	44.0	108.0	100.0	60.0	0.0	0.0	312.0	0.666666666667
ENSFDAG00000022902	150.0	127.0	144.0	153.0	0.0	0.0	574.0	0.47212543554
ENSFDAG00000011881	37.0	109.0	109.0	84.0	0.0	0.0	339.0	0.643067846608
ENSFDAG00000016089	72.0	112.0	113.0	39.0	0.0	0.0	336.0	0.669642857143
ENSFDAG00000004056	60.0	132.0	134.0	85.0	0.0	0.0	411.0	0.647201946472
ENSFDAG00000020059	49.0	134.0	133.0	77.0	0.0	0.0	393.0	0.679389312977
ENSFDAG00000001192	100.0	133.0	127.0	72.0	0.0	0.0	432.0	0.601851851852
ENSFDAG00000003038	33.0	40.0	29.0	22.0	0.0	0.0	124.0	0.556451612903
ENSFDAG00000003054	33.0	40.0	29.0	22.0	0.0	0.0	124.0	0.556451612903
ENSFDAG00000022903	252.0	397.0	397.0	236.0	0.0	0.0	1282.0	0.619344773791
ENSFDAG00000022904	172.0	159.0	147.0	144.0	0.0	0.0	622.0	0.491961414791
ENSFDAG00000010269	667.0	559.0	533.0	428.0	0.0	0.0	2187.0	0.499314128944
ENSFDAG00000022905	430.0	403.0	435.0	402.0	0.0	0.0	1670.0	0.501796407186
ENSFDAG00000022906	994.5	886.0	944.0	1323.0	0.0	0.0	4147.5	0.44122965642
ENSFDAG00000022907	496.0	610.0	571.0	518.0	0.0	0.0	2195.0	0.538041002278
ENSFDAG00000006093	156.0	292.0	303.0	143.0	0.0	0.0	894.0	0.665548098434
ENSFDAG00000022908	170.0	206.0	194.0	205.0	0.0	0.0	775.0	0.516129032258
ENSFDAG00000003827	51.0	134.0	125.0	77.0	0.0	0.0	387.0	0.669250645995
ENSFDAG00000005153	89.0	119.0	127.0	46.0	0.0	0.0	381.0	0.645669291339
ENSFDAG00000008810	314.0	415.0	417.0	332.0	0.0	0.0	1478.0	0.562922868742
